bid_id,tender_id,bidder_id,bid_price,is_winner,submission_time,ip_address
BID-0001,UADD-2024-001,23KCXVQ9506H1ZC,46.97,False,2024-05-26 22:00:00,192.168.102.12
BID-0002,UADD-2024-001,23YADTW4686G1ZD,39.54,False,2024-05-24 16:00:00,192.168.247.140
BID-0003,UADD-2024-001,23NHCIB2456J1ZB,39.44,False,2024-05-26 23:00:00,192.168.213.153
BID-0004,MPMKVV-2024-001,23YPVKY2861S1ZW,8.18,False,2024-09-24 02:00:00,192.168.21.184
BID-0005,MPMKVV-2024-001,23VWFGP5519Z1ZF,8.48,False,2024-09-22 02:00:00,192.168.195.151
BID-0006,MPMKVV-2024-001,23QCZVM6579O1ZX,8.88,False,2024-09-23 20:00:00,192.168.185.82
BID-0007,MPMKVV-2024-001,23HPTIR9671B1ZL,9.22,False,2024-09-23 22:00:00,192.168.14.230
BID-0008,MPMKVV-2024-001,23MVXMP5477E1ZC,8.65,False,2024-09-24 08:00:00,192.168.186.40
BID-0009,PHED-2024-001,23KCXVQ9506H1ZC,36.67,False,2024-11-15 21:00:00,192.168.100.10
BID-0010,PHED-2024-001,23AJCKM7208R1ZS,42.49,False,2024-11-17 17:00:00,192.168.58.186
BID-0011,PHED-2024-001,23XGPMS3456X1ZR,40.91,False,2024-11-16 21:00:00,192.168.144.21
BID-0012,PWD-2024-001,23SYRSB7785E1Z7,8.77,True,2024-04-08 00:05:00,10.25.142.11
BID-0013,PWD-2024-001,23OCSGU1310K1ZF,12.03,False,2024-04-08 00:04:00,10.25.142.11
BID-0014,PWD-2024-001,23WVXWR4500B1ZI,11.16,False,2024-04-08 00:04:00,10.25.142.11
BID-0015,PWD-2024-001,23SEVXN5779D1Z8,11.79,False,2024-04-08 00:10:00,10.25.142.11
BID-0016,PWD-2024-001,23OXKTH6843S1ZJ,12.58,False,2024-04-08 00:04:00,10.25.142.11
BID-0017,PHED-2024-002,23TLIXA9016M1Z7,49.69,False,2024-07-28 21:00:00,192.168.103.242
BID-0018,PHED-2024-002,23ZXMIR7280G1ZJ,50.56,False,2024-07-29 13:00:00,192.168.238.238
BID-0019,PHED-2024-002,23RGDHF6029E1ZE,57.09,False,2024-07-29 16:00:00,192.168.61.200
BID-0020,PWD-2024-002,23KCXVQ9506H1ZC,89.75,False,2024-08-12 09:00:00,192.168.96.155
BID-0021,PWD-2024-002,23ZIZKJ1338M1ZN,84.1,False,2024-08-13 05:00:00,192.168.16.105
BID-0022,PWD-2024-002,23MQSZH1307M1ZM,76.05,False,2024-08-11 20:00:00,192.168.107.41
BID-0023,PWD-2024-002,23ODXMZ4175A1Z7,77.57,False,2024-08-13 06:00:00,192.168.92.150
BID-0024,WRD-2024-001,23ZEKND1081E1ZD,128.06,False,2024-02-07 01:00:00,192.168.64.43
BID-0025,WRD-2024-001,23OWSUJ4394Z1Z0,140.93,False,2024-02-07 20:00:00,192.168.197.30
BID-0026,WRD-2024-001,23GPXVH1115O1ZZ,142.13,False,2024-02-07 22:00:00,192.168.184.37
BID-0027,WRD-2024-001,23DONZZ4094C1ZB,124.83,False,2024-02-07 08:00:00,192.168.133.179
BID-0028,UADD-2024-002,23AAJGN5926R1ZI,36.6,False,2024-07-07 16:00:00,192.168.33.182
BID-0029,UADD-2024-002,23UGFIL7711I1ZP,37.41,False,2024-07-07 19:00:00,192.168.185.249
BID-0030,UADD-2024-002,23ZTZNV3767B1ZP,37.1,False,2024-07-08 20:00:00,192.168.79.74
BID-0031,UADD-2024-002,23DEBIJ7409A1ZZ,41.75,False,2024-07-07 20:00:00,192.168.85.49
BID-0032,UADD-2024-002,23MUTWH6274P1ZR,42.54,False,2024-07-07 11:00:00,192.168.83.231
BID-0033,MPRDC-2024-001,23GVGCR8316C1Z8,123.03,False,2024-11-16 10:00:00,192.168.218.203
BID-0034,MPRDC-2024-001,23JZCJA2830D1ZQ,116.39,False,2024-11-18 06:00:00,192.168.29.84
BID-0035,MPRDC-2024-001,23QNCQR2950J1Z7,130.18,False,2024-11-18 11:00:00,192.168.219.104
BID-0036,MPRDC-2024-001,23PZHLQ3758W1ZT,135.15,False,2024-11-16 08:00:00,192.168.81.23
BID-0037,MPRDC-2024-001,23AEAKY2354M1Z9,130.12,False,2024-11-17 08:00:00,192.168.111.8
BID-0038,MPMKVV-2024-002,23AKXKX6671W1ZA,32.52,False,2024-05-16 15:00:00,192.168.251.201
BID-0039,MPMKVV-2024-002,23YADTW4686G1ZD,34.28,False,2024-05-16 11:00:00,192.168.92.154
BID-0040,MPMKVV-2024-002,23EWRRN7390V1ZU,38.9,False,2024-05-16 00:00:00,192.168.166.248
BID-0041,PWD-2024-003,23OWSUJ4394Z1Z0,4.85,True,2024-06-11 00:06:00,10.25.142.11
BID-0042,PWD-2024-003,23YBDQO6210O1Z2,6.18,False,2024-06-11 00:09:00,10.25.142.11
BID-0043,PWD-2024-003,23NCVXB0227Y1ZE,6.03,False,2024-06-11 00:07:00,10.25.142.11
BID-0044,PWD-2024-003,23UPNKV3607N1ZT,6.25,False,2024-06-11 00:08:00,10.25.142.11
BID-0045,PWD-2024-003,23RJYEZ6204I1ZZ,6.6,False,2024-06-11 00:01:00,10.25.142.11
BID-0046,UADD-2024-003,23OMDAU7577C1ZV,47.81,True,2024-10-16 00:07:00,10.25.142.11
BID-0047,UADD-2024-003,23UGFIL7711I1ZP,64.14,False,2024-10-16 00:06:00,10.25.142.11
BID-0048,UADD-2024-003,23ZBQUR9427Z1Z2,67.53,False,2024-10-16 00:03:00,10.25.142.11
BID-0049,PWD-2024-004,23RJYEZ6204I1ZZ,115.87,False,2024-07-22 03:00:00,192.168.198.254
BID-0050,PWD-2024-004,23ROTQS2099R1Z5,108.14,False,2024-07-23 23:00:00,192.168.215.39
BID-0051,PWD-2024-004,23FEZMC0634J1ZE,115.67,False,2024-07-23 17:00:00,192.168.17.45
